Timestamp,What_is_your_program,Are_you_an_international_student,Previous_Year_Housing,Upcoming_Year_Housing,"What_is_your_monthly_cost_on_utilities_(gas/electric/water/trash/internet/laundry_services/renter's_insurance,_etc.)",Do_you_consider_your_neighborhood_to_be_a_safe_environment_Elaborate_on_your_point.,"If_you_answered_""No""_in_the_previous_question,_considering_the_perceived_level_of_safety_in_your_current_neighborhood,_what_would_be_the_expected_monthly_rental_cost_of_an_apartment_in_a_location_deemed_secure","On_average,_how_much_time_do_you_spend_one-way_commuting_on_a_daily_basis_Please_specify_walk,_drive,_and/or_public_transportation.","What_is_your_average_monthly_cost_to_commute_to_work_Please_include_gas,_Metro_bus,_and/or_taxi/Uber_prices.","What_is_your_average_yearly_expenditure_incurred_for_travel_to_your_home_or_for_vacation_purposes_Please_include_gas,_Metro_bus,_taxi/Uber,_and/or_airfare_prices).","If_you_own_a_car,_what_is_your_average_yearly_cost_for_car_maintenance/car_payments/car_insurance/parking_passes",What_is_your_average_monthly_(not_weekly)_expenditure_on_groceries_and_dining_out,What_is_your_average_monthly_expense_for_health-associated_costs_(medications/copays/procedures/etc.),"For_pet_owners,_what_is_the_average_monthly_expenditure_on_pet-related_costs","If_applicable,_approximately_how_much_do_you_spend_on_average_per_month_to_support_dependents_(children,_elderly_parents,_etc.)","If_applicable,_what_are_your_average_miscellaneous_expenses_per_year_that_are_essential_but_were_not_mentioned_in_the_above_categories_(e.g._Clothing_etc.)_Please_list_each_expense_category_in_your_answer.","In_the_past_12_months,_which_of_the_following_trade-offs_have_you_made_to_meet_living_expenses_(Select_all_that_apply.)"
2025/08/20 11:02:56 AM AST,Molecular and Developmental Biology,Yes,1640.0,1840.0,400.0,yes,,10 mins drive,120,800,2000,200.0,200,,0,4000,
2025/08/20 11:02:58 AM AST,Biomedical Informatics/Biostats,Yes,1800.0,1850.0,250.0,yes,,15,100,4000,3000,2000.0,800,800,,3000,
2025/08/20 11:05:59 AM AST,"Molecular Genetics, Biochemistry and Microbiology",No,1200.0,1350.0,200.0,"Yes. I had to move out of a very unsafe neighborhood I previously lived in. Car got broken into 5 times, staff entered my apartment without consent while I was home. This in erased my rent",,20min driving ,50,1500 (fly back home 2x a year for holidays) ,"5000 (car payments, insurance, parking pass) ",300.0,500 (many of my medications not covered by student health insurance) ,30 ,,"100 clothing 
4800 therapy not covered by insurance ",
2025/08/20 11:07:21 AM AST,Molecular and Developmental Biology,Yes,1400.0,1400.0,300.0,yes,,drive - 20 mins,40,2500,2000,400.0,100,150,,"clothing, subscriptions, gym memberships, technology/electronics - 800",
2025/08/20 11:09:05 AM AST,Epidemiology,Yes,600.0,625.0,150.0,Fairly safe ; although there have been incidents of abduction and few harassments against women,900,20 mins,100,1300,2000,150.0,100,,,Clothing - 400 ,
2025/08/20 11:09:21 AM AST,Neuroscience,No,1200.0,1250.0,300.0,"Not really, my neighbors get eviction notices, shoot off guns, and have been in trouble with the law",1600,20 car (gas and overall car maintenace),0 (walk),1200 (gas and maintenance),1000,400.0,"300 (I tored my achilles last year), otherwise ~100","150 (insurance, food, etc)",0,2000,
2025/08/20 11:09:39 AM AST,"Molecular, Cellular and Biochemical Pharmacology",No,653.0,653.0,340.0,"Yes, very close to local law enforcement",,30 minutes drive,90,1250,7000,400.0,400,,$1500,"$100 services, $200 self-care",
2025/08/20 11:17:04 AM AST,Cancer and Cell Biology,No,1150.0,1200.0,200.0,Yes. I live near the vice president,,"7min drive, 12 min walk",30,4000,1000,300.0,0,0,100,1000,
2025/08/20 11:20:02 AM AST,Molecular and Developmental Biology,No,1050.0,1200.0,200.0,"Yes, this year but not last. Last year ~1000 monthly rent and my boyfriend was literally held at gunpoint. Can’t really find a place in a better neighborhood for less than this ",I now live in a safe neighborhood and pay 1200/mo,10-15 mins,~$40,~$600,~1000 but my mom pays my car payment and insurance bc no shot I could afford it ,,$35,125,0,Na,
2025/08/20 11:20:11 AM AST,Molecular and Developmental Biology,Yes,,,50.0,"Yes in general, but can be not so safe at night",,"drive, 15-20min",250,"2,000","2,800",600.0,35,,,"1,000",
2025/08/20 11:22:31 AM AST,Pathobiology and Molecular Medicine,No,800.0,850.0,200.0,"Yes, live in a safe apartment complex ",,"Driving, with traffic about 30-40 minutes, without traffic about 15 minutes ",$50-$100,I have no idea ,"Parking passes are what drives this cost up…. $1,000 a year for parking passes, car insurance is $1,200 a year, and maintenance is about $1,000 a year. All together $3,200",600.0,$150,$100,0,"Clothing: $200 
Eye insurance: $120
Dental cleanings (twice yearly): $240",
2025/08/20 11:22:33 AM AST,Neuroscience,No,895.0,950.0,200.0,Just moved to a much safer neighborhood,,20 min drive + 15 min walk,50,1000,2500,300.0,350,75,0,"Clothing: $10 can't afford new clothing
Shoes: $75-100 depending on if I need new shoes
Health & Fitness: $500",
2025/08/20 11:24:49 AM AST,Environmental and Industrial Hygeine,Yes,,,,"Yes, it is a student community ",,About 30 minutes ,$25,$1500,,300.0,$200,,,"Obtaining logistics like laptop,  books, clothes",
2025/08/20 11:27:53 AM AST,"Molecular, Cellular and Biochemical Pharmacology",No,1050.0,800.0,360.0,Somewhat- I have been catcalled while walking in my neighborhood.,800,15 minute drive,$100,$700,$3000,200.0,$300,$25,,"Clothing- $300
",
2025/08/20 11:32:32 AM AST,Cancer and Cell Biology,No,800.0,1100.0,300.0,"No, there is quite a bit of crime, cars/houses being broken into",1400,15 minutes drive,$100,2000,1500,400.0,100,100,,"clothing: 500, recreation: 2000",
2025/08/20 11:35:05 AM AST,Systems Biology and Physiology,Yes,845.0,866.0,150.0,"I live close to the UC Medical Campus. It is generally a safe area because it is near the hospital and the university, which means there is frequent police presence and many students and staff around. However, like in any city, some incidents can happen occasionally, especially at night, so it’s important to stay cautious. The negative thing is that houses/apartments close to UC are very expensive.",,I walk to the university and it takes almost 15 minutes.,No cost,1500-2000,,,100,,,4000-5000,
2025/08/20 11:37:33 AM AST,Cancer and Cell Biology,Yes,,,300.0,Not really,$1200,10 minutes by walking,0,"$3,000","$5,000",600.0,$50,,,"clothing, shoes, fitness, feminine care, hair care, body care etc. $1000",
2025/08/20 11:37:34 AM AST,Molecular and Developmental Biology,No,0.0,1400.0,150.0,"Yes, but far from school.",,35-45 minute drive and 10-15 minute shuttle ride,100 (gas),600,2400,300.0,200,150,,"720 (gym membership)
400 (shoes)
500 (clothes)
400 (hobbies/hobby supplies)",
2025/08/20 11:38:08 AM AST,Biomedical Informatics/Biostats,Yes,,,,Yes,,Public transport-25 minutes/ UC shuttle can take up to an hour,"~$40 gas or metro, $400 Uber (I’m not using Uber frequently, but this is a monthly estimate if I would)",~ $2000,~ $7000,,I put an annual estimate in the last section.,,,"Therapy $1440, Shopping (Clothing+ Home) $3000, Entertainment $650, Health $200, Relationship $1000",
2025/08/20 11:41:49 AM AST,Immunology,No,795.0,795.0,200.0,"Yes, I consider my neighborhood to be a safe environment. I live on Ludlow Ave in Clifton. The neighborhood is diverse, and I often see individuals in scrubs walking around (suggesting that I'm in an area with people working in a hospital setting, similar to myself). There have been recent concerns of loud noises outside on Ludlow Ave at night during the weekends, but I do not think this makes me feel unsafe. Moreover, I think that any neighborhood directly outside of downtown Cincinnati may have minor issues, such as the homeless that can be seen walking around Clifton during the day, but this is not a concern for my safety and rather a hallmark of living very close to a city center.",,5-10 minutes when I bike to work. 30 minutes when I drive to Vernon manor parking garage and take the shuttle. Upwards of an hour when I take the bus (public transportation). ,"Since I mostly bike or drive my car, I estimate that I spend $50 in gas to fuel my monthly commute.","Yearly expenditure for fuel to travel between Cincinnati and Philadelphia (home): $900. This is an estimate of 6 round-trips / year of me driving. With my car, it's about $150 in fuel for a round-trip. ",$2000,400.0,$40,,,Clothing: $1400. School supplies: $150. Bike supplies: $300. ,
2025/08/20 11:54:24 AM AST,Immunology,Yes,700.0,750.0,200.0,Yes,,"Drive - 25 min, shuttle- 15 mins",60,2000,3000,500.0,60,,,"Clothing- 500, home maintenance/furniture/appliance-1500",
2025/08/20 12:02:16 PM AST,"Molecular Genetics, Biochemistry and Microbiology",No,900.0,950.0,300.0,Yes,,25 mins,80,1500,2000,300.0,500,60,,2000,
2025/08/20 12:27:14 PM AST,Environmental and Industrial Hygeine,No,1185.0,1015.0,175.0,"Yes, I can freely walk around at night and feel safe traveling to/from home alone. ",,"30 minutes drive to campus, 30 minutes drive from campus, 1 hour total. ",$120 in gas ,"$1500, vacation",$2000,500.0,$200,,0,Clothing - $500,
2025/08/20 12:31:16 PM AST,Immunology,No,,,200.0,"No, my neighborhood is in an area with high police presence and frequent arrests.",$1600 to $2000,I drive 30 minutes one way.,$400,$4800,$1500,600.0,$50,$200,,"Clothing: $1500
Entertainment:$750",
2025/08/20 12:41:31 PM AST,Immunology,No,850.0,1190.0,300.0,Yes. I am in Mason. I have a 20-30 minute commute but I picked the area in big part because of safety ,,driving in morning - 30 minutes,$80,$600,$400,250.0,0 ,$75,0,clothing - $400,
2025/08/20 12:43:44 PM AST,Pathobiology and Molecular Medicine,No,1600.0,1600.0,240.0,"Yes, it is a family friendly area.",,8-10 min driving (or biking),60,640,1700,240.0,20,80,0,Home maintenance - 600,
2025/08/20 1:08:45 PM AST,"Molecular Genetics, Biochemistry and Microbiology",No,1200.0,1200.0,,"Mid range, could be a worse neighborhood but also has good qualities. ",,20 minute drive ,~2 tanks of gas,~2 tanks of gas,"1200 for parking passes, ~90/oil change, 360/year for insurance",250.0,20,75,,I am nearing needing a new laptop which would be around 1000 but don't have it saved up,
2025/08/20 2:02:00 PM AST,Immunology,No,,,,"Yes, I live in blue ash",,"Driving 16 min no traffic, 35 min with traffic",$100,$1500,$2400,250.0,$120,$80,,$1000,"Took on additional roommates/shared a room to lower rent;Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost"
2025/08/20 2:42:31 PM AST,Epidemiology,No,950.0,1000.0,150.0,yes,,drive,200,4000,6500,200.0,0,0,0,1000,"Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Reduced transportation costs in ways that increased commute time;Used credit cards/loans or sold belongings to cover essentials"
2025/08/20 3:57:11 PM AST,Genetic Counseling,No,1000.0,1100.0,100.0,"yes kinda of, I havent had a safety issue but have recieved notifications of crimes in the area through the citizens app",,15-20 by UC bus,$20 for ubers/lyft ,$2000,,100.0,13,,,nA,"Took on additional roommates/shared a room to lower rent;Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost;Reduced transportation costs in ways that increased commute time"
2025/08/20 6:06:50 PM AST,Cancer and Cell Biology,No,475.0,850.0,150.0,It’s safe when you are aware of surroundings but had high overall crime rates,"1,000 minimum",Drive 15 minutes,40,400 (home 4x and 1 short trip),1500,300.0,50,Na,Na,Clothes-200,"Chose a lower-cost apartment despite safety/quality concerns;Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Used credit cards/loans or sold belongings to cover essentials"
2025/08/20 6:47:13 PM AST,Immunology,No,1095.0,1095.0,200.0,"Yes - near an elementary school, feel comfortable walking/running around the neighborhood close to 9pm",,30 minutes - 20 minute drive + 10(ish) minutes on CCHMC shuttle,60,Travel to home: 750 (gas); vacation: ~1000 depending on destination,"1500 (no car payment, mostly insurance cost)",300.0,~50 (medications only),,,Clothing: 300 (almost exclusively shop at goodwill). Arts/culture/concerts etc: 200,Lived farther from campus to reduce housing/parking costs;Delayed medical/dental care or prescriptions due to cost
2025/08/20 7:04:46 PM AST,"Molecular, Cellular and Biochemical Pharmacology",No,1800.0,2100.0,600.0,No,3000,30 Min ,400,4000,1500,400.0,45,200,,400,"Lived farther from campus to reduce housing/parking costs;Chose a lower-cost apartment despite safety/quality concerns;Skipped or delayed paying bills (utilities, phone, medical, etc.);Delayed medical/dental care or prescriptions due to cost;Reduced transportation costs in ways that increased commute time;Used credit cards/loans or sold belongings to cover essentials"
2025/08/20 10:13:12 PM AST,Immunology,No,1400.0,1600.0,,"Yes, for the most part, although not guaranteed",,20,200,1000,5000,500.0,500,,,500,"Chose a lower-cost apartment despite safety/quality concerns;Skipped or delayed paying bills (utilities, phone, medical, etc.);Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost;Used credit cards/loans or sold belongings to cover essentials"
